Name,Address,City.State,ZIP,Number.of.Sites,Url,House.district,Senate.district
Paw Paw Lake Mobile Home Park,"5259 North Watervliet Road,","Watervliet, MI",49098,NA,https://www.mhvillage.com/parks/15462,39,20
Colonial Estates Mobile Home Park,"501 Us Highway 131 North,","White Pigeon, MI",49099,112,https://www.mhvillage.com/parks/15696,36,17
River Forest Mobile Home Park,"19013 Fawn River Road,","White Pigeon, MI",49099,56,https://www.mhvillage.com/parks/15694,36,17
Shawnee Community,"1558 West Shawnee Road,","Baroda, MI",49101,161,https://www.mhvillage.com/parks/15344,37,17
Baroda Estates,"8836 Stevensville Baroda Road,","Baroda, MI",49101,151,https://www.mhvillage.com/parks/15476,37,17
River Springs Estates,"9387 Us Highway 31,","Berrien Springs, MI",49103,198,https://www.mhvillage.com/parks/15466,37,17
Warren Dunes Village,"11159 Red Arrow Highway,","Bridgman, MI",49106,314,https://www.mhvillage.com/parks/15882,38,17
Hills Haven,"4205 Hills Haven Rd.,","Buchanan, MI",49107,94,https://www.mhvillage.com/parks/15470,37,17
Riverside Estates,"14566 North Red Bud Trail,","Buchanan, MI",49107,87,https://www.mhvillage.com/parks/414,37,17
Indian Lake Woods,"54750 Highland Dr,","Eau Claire, MI",49111,14,https://www.mhvillage.com/parks/32642,37,17
Edwardsburg Estates,"69425 M-62,","Edwardsburg, MI",49112,109,https://www.mhvillage.com/parks/15585,36,17
Colonial Acres Mobile Home Park,"69205 Garver Lake,","Edwardsburg, MI",49112,108,https://www.mhvillage.com/parks/15676,36,17
C&M Park,"70710 Elkhart Rd.,","Edwardsburg, MI",49112,26,https://www.mhvillage.com/parks/15670,36,17
Rustic Acres Mobile Home Park,"19250 Stateline Road,","Edwardsburg, MI",49112,70,https://www.mhvillage.com/parks/15746,36,17
Wildwood Resort,"23040 Phillips Road,","Edwardsburg, MI",49112,163,https://www.mhvillage.com/parks/37442,36,17
Simmons Mobile Home Park,"19311 Us Highway 12,","Edwardsburg, MI",49112,NA,https://www.mhvillage.com/parks/15681,36,17
Rema Mobile Home Park,"24050 North Shore Drive,","Edwardsburg, MI",49112,92,https://www.mhvillage.com/parks/15679,36,17
Linden Mobile Home Park,"19350 State Line Road,","Edwardsburg, MI",49112,NA,https://www.mhvillage.com/parks/15673,36,17
Judy's Mobile Home Court,"18891 Us Highway 12 Lot 31,","New Buffalo, MI",49117,29,https://www.mhvillage.com/parks/15468,38,17
Silverbrook,"1000 West Wildflower,","Niles, MI",49120,176,https://www.mhvillage.com/parks/15964,37,17
Birchcrest Estates,"2330 East Main Street,","Niles, MI",49120,110,https://www.mhvillage.com/parks/15475,37,17
Country Acres Manufactured Home Community,"2615 Old Us 31,","Niles, MI",49120,64,https://www.mhvillage.com/parks/15465,37,17
Niles Pines Mobile Estates,"900 Mobile Boulevard,","Niles, MI",49120,80,https://www.mhvillage.com/parks/15672,37,17
Ontario Place,"2006 Ontario Road,","Niles, MI",49120,128,https://www.mhvillage.com/parks/411,37,17
Niles Mobile Home Park,"2995 Detroit Road,","Niles, MI",49120,38,https://www.mhvillage.com/parks/498,37,17
Rosebush Mobile Home Park,"2419 Dick Street,","Niles, MI",49120,20,https://www.mhvillage.com/parks/15680,37,17
Grooms Mobile Park,"1003 Ontario Road,","Niles, MI",49120,NA,https://www.mhvillage.com/parks/54428,37,17
Franklin Woods,"1950 South 13th Street,","Niles, MI",49120,268,https://www.mhvillage.com/parks/15358,37,17
Meadow Streams,"3101 River Road,","Sodus, MI",49126,159,https://www.mhvillage.com/parks/15334,37,20
St. Joseph River Highlands,"Pipestone,","Sodus, MI",49126,NA,https://www.mhvillage.com/parks/16035,37,20
Sand Hill Community,"5080 Saint Joseph Avenue,","Stevensville, MI",49127,80,https://www.mhvillage.com/parks/15463,38,20
Lakeshore Estates,"3017 Johnson Road,","Stevensville, MI",49127,98,https://www.mhvillage.com/parks/15360,38,20
Spring Lake MHC,"604 West John Beers Road,","Stevensville, MI",49127,388,https://www.mhvillage.com/parks/15361,38,20
Lakewood Estates,"8000 Warren Woods Road,","Three Oaks, MI",49128,136,https://www.mhvillage.com/parks/15514,38,17
Lakeside Cabins Resort,"7650 Warren Woods Rd,","Three Oaks, MI",49128,220,https://www.mhvillage.com/parks/90505,38,17
Three Oaks Estates,"6992 West Us Highway 12,","Three Oaks, MI",49128,74,https://www.mhvillage.com/parks/15738,37,17
Windham Hills,"4020 County Farm Road,","Jackson, MI",49201,420,https://www.mhvillage.com/parks/15980,46,14
Indian Village,"2600 East South Street,","Jackson, MI",49201,294,https://www.mhvillage.com/parks/15351,46,14
Shady Park Mobile Home Court,"4000 East South Street,","Jackson, MI",49201,23,https://www.mhvillage.com/parks/15534,47,14
Holiday Manor Park,"3105 Timberline Drive,","Jackson, MI",49201,63,https://www.mhvillage.com/parks/15435,46,14
Cedars Mobile Home Subdivision,"321 North Portage Road,","Jackson, MI",49201,NA,https://www.mhvillage.com/parks/16046,46,14
Northern Trailer Park,"6934 Lansing Avenue,","Jackson, MI",49201,NA,https://www.mhvillage.com/parks/15537,45,14
Ponderosa Mobile Home Subdivision,"Waco Drive,","Jackson, MI",49201,NA,https://www.mhvillage.com/parks/16048,45,14
The Reserves,"3999 Sherwood Lakes Boulevard,","Jackson, MI",49201,304,https://www.mhvillage.com/parks/439,46,14
Walnut Ridge,"3201 Hawthorn Circle,","Jackson, MI",49201,298,https://www.mhvillage.com/parks/15962,46,14
Sherman Oaks,"1144 Sherman Blvd.,","Jackson, MI",49201,366,https://www.mhvillage.com/parks/347,45,14
Sun Valley Estates Mobile Home Community,"301 Mantle Avenue,","Jackson, MI",49202,184,https://www.mhvillage.com/parks/344,46,14
Michigan Avenue Estates,"3921 West Michigan Avenue,","Jackson, MI",49202,41,https://www.mhvillage.com/parks/15438,46,14
Cozy Manufactured Home Community,"1259 East Mcdevitt Road,","Jackson, MI",49203,206,https://www.mhvillage.com/parks/397,47,14
Jackson Mobile Home Park,"2240 Brooklyn Road,","Jackson, MI",49203,80,https://www.mhvillage.com/parks/15538,47,14
Fisher Trailer Park,"3425 Brooklyn Road,","Jackson, MI",49203,NA,https://www.mhvillage.com/parks/15436,47,14
Silver Lawn Mobile Park,"10891 Cement City Highway,","Addison, MI",49220,NA,https://www.mhvillage.com/parks/54881,34,16
Maple Woods,"1550 West Beecher Road,","Adrian, MI",49221,285,https://www.mhvillage.com/parks/522,34,16
Hidden River North,"975 Beecher Road,","Adrian, MI",49221,211,https://www.mhvillage.com/parks/15930,34,16
Sterling Estates,"1203 Division Street,","Adrian, MI",49221,295,https://www.mhvillage.com/parks/366,34,16
Hidden River South,"3251 South Adrian Highway,","Adrian, MI",49221,202,https://www.mhvillage.com/parks/16023,34,16
Raisin Valley Estates,"4897 N. Adrian Hwy,","Adrian, MI",49221,27,https://www.mhvillage.com/parks/15403,34,16
Friendly Village Of Adrian,"1100 South Main Street,","Adrian, MI",49221,179,https://www.mhvillage.com/parks/15347,34,16
Sunset Mobile Home Park,"3720 Black Highway,","Adrian, MI",49221,50,https://www.mhvillage.com/parks/15398,34,16
King Mobile Home Court,"1142 Lansing Street,","Adrian, MI",49221,123,https://www.mhvillage.com/parks/15346,34,16
Southgate Mobile Park,"2425 East Us Highway 223,","Adrian, MI",49221,48,https://www.mhvillage.com/parks/15400,34,16
Adrian Estates,"1003 Lansing Street,","Adrian, MI",49221,26,https://www.mhvillage.com/parks/15547,34,16
Lee Villa Mobile Home Park,"2985 Gady Road,","Adrian, MI",49221,113,https://www.mhvillage.com/parks/15404,34,16
Robinhood Mobile Court,"3180 North Adrian,","Adrian, MI",49221,25,https://www.mhvillage.com/parks/15402,34,16
Wildflower Crossing,"1200 Westover Blvd,","Albion, MI",49224,344,https://www.mhvillage.com/parks/126426,44,17
Twin Pines MHC,"2701 Calhoun Road,","Albion, MI",49224,73,https://www.mhvillage.com/parks/15517,44,17
Coach Light Estates,"650 West Adrian Street,","Blissfield, MI",49228,230,https://www.mhvillage.com/parks/309,34,16
Hillanlake Village Mobile Home Park,"3998 Sunset Drive,","Brooklyn, MI",49230,151,https://www.mhvillage.com/parks/15377,47,14
Deep Lake Recreational Park,"147 Deep Lake,","Brooklyn, MI",49230,98,https://www.mhvillage.com/parks/16051,34,16
Country Villa,"12919 Tipton Highway,","Clinton, MI",49236,73,https://www.mhvillage.com/parks/371,34,16
Water Wheel Community,"316 West Michigan Avenue,","Clinton, MI",49236,172,https://www.mhvillage.com/parks/15345,33,15
Clinton Estates,"1801 West Michigan Avenue,","Clinton, MI",49236,30,https://www.mhvillage.com/parks/40692,34,15
Three Oaks Estates,"13380 Michigan 60,","Concord, MI",49237,44,https://www.mhvillage.com/parks/15540,45,17
Concord Creek Mobile Home Park,"13400 Cornell Road,","Concord, MI",49237,18,https://www.mhvillage.com/parks/15437,45,17
Andover,"1000 Cambry Circle,","Grass Lake, MI",49240,125,https://www.mhvillage.com/parks/15981,46,14
Andry's On The Lake,"7740 Mount Hope Road,","Grass Lake, MI",49240,160,https://www.mhvillage.com/parks/16052,48,14
Spring Valley Estates,"121 Split Rail Trail,","Hanover, MI",49241,94,https://www.mhvillage.com/parks/394,45,14
Hillsdale,"2856 Carleton Road,","Hillsdale, MI",49242,170,https://www.mhvillage.com/parks/475,35,16
Creekside Mobile Home Park,"3700 North Hillsdale Road,","Hillsdale, MI",49242,50,https://www.mhvillage.com/parks/15665,35,16
Southern Belle Mobile Community,"2722 West Card Road,","Hillsdale, MI",49242,14,https://www.mhvillage.com/parks/37607,35,16
